round,module,function,dimensions,query,x1,x2,x3,x4,x5,x6,x7,x8
1,12,F1,2,0.748303-0.774081,0.748303,0.774081,,,,,,
1,12,F2,2,0.712089-0.900427,0.712089,0.900427,,,,,,
1,12,F3,3,0.594627-0.483810-0.361081,0.594627,0.48381,0.361081,,,,,
1,12,F4,4,0.545176-0.420036-0.509012-0.281965,0.545176,0.420036,0.509012,0.281965,,,,
1,12,F5,4,0.184092-0.780263-0.867066-0.899538,0.184092,0.780263,0.867066,0.899538,,,,
1,12,F6,5,0.780842-0.243517-0.604887-0.687098-0.107087,0.780842,0.243517,0.604887,0.687098,0.107087,,,
1,12,F7,6,0.057957-0.506609-0.233715-0.173589-0.397695-0.681388,0.057957,0.506609,0.233715,0.173589,0.397695,0.681388,,
1,12,F8,8,0.001000-0.001000-0.001000-0.021206-0.288306-0.791610-0.440446-0.937765,0.001,0.001,0.001,0.021206,0.288306,0.79161,0.440446,0.937765
2,13,F1,2,0.680000-0.720000,0.68,0.72,,,,,,
2,13,F2,2,0.640000-0.860000,0.64,0.86,,,,,,
2,13,F3,3,0.610000-0.500000-0.350000,0.61,0.5,0.35,,,,,
2,13,F4,4,0.560000-0.450000-0.520000-0.300000,0.56,0.45,0.52,0.3,,,,
2,13,F5,4,0.210000-0.820000-0.880000-0.890000,0.21,0.82,0.88,0.89,,,,
2,13,F6,5,0.760000-0.260000-0.620000-0.670000-0.120000,0.76,0.26,0.62,0.67,0.12,,,
2,13,F7,6,0.070000-0.520000-0.250000-0.180000-0.400000-0.700000,0.07,0.52,0.25,0.18,0.4,0.7,,
2,13,F8,8,0.020000-0.020000-0.020000-0.030000-0.300000-0.800000-0.450000-0.940000,0.02,0.02,0.02,0.03,0.3,0.8,0.45,0.94
3,14,F1,2,0.620000-0.690000,0.62,0.69,,,,,,
3,14,F2,2,0.720000-0.780000,0.72,0.78,,,,,,
3,14,F3,3,0.590000-0.470000-0.380000,0.59,0.47,0.38,,,,,
