round,module,function,output
1,12,F1,2.882960957334074e-26
1,12,F2,0.4704339955053118
1,12,F3,-0.03130329490126936
1,12,F4,-3.8148703245700264
1,12,F5,892.9113323251254
1,12,F6,-0.6285229300978662
1,12,F7,1.3461572939111877
1,12,F8,9.5486972612915
2,13,F1,1.8124950340224335e-08
2,13,F2,0.32641110741699314
2,13,F3,-0.04316946297070038
2,13,F4,-4.517762871083367
2,13,F5,1039.320858359235
2,13,F6,-0.5976885281887429
2,13,F7,1.3348401869383655
2,13,F8,9.56804
3,14,F1,-0.003085685650307045
3,14,F2,0.517485948738225
3,14,F3,-0.018897011240866887
3,14,F4,-3.3145132670059527
3,14,F5,1098.093449492907
3,14,F6,-0.5047727041329945
3,14,F7,1.3370876604524755
3,14,F8,9.569335
4,15,F1,-3.535694443300291e-05
4,15,F2,0.6178065563605846
4,15,F3,-0.029889037608763894
4,15,F4,-3.436621397226332
4,15,F5,1168.5026208047132
4,15,F6,-0.4876733996507289
4,15,F7,1.336744335141577
4,15,F8,9.5698576
5,16,F1,-0.00023213423561594152
5,16,F2,0.4188175492903236
5,16,F3,-0.017068432589487138
5,16,F4,-3.149618809843481
5,16,F5,1210.836312005431
5,16,F6,-0.5424538360515314
5,16,F7,1.333497116544194
5,16,F8,9.5701
6,17,F1,3.037629744645433e-06
6,17,F2,0.48292158508262073
6,17,F3,-0.01824481892522593
6,17,F4,-3.0551805858271517
6,17,F5,1245.2845414913465
6,17,F6,-0.6294288050385913
6,17,F7,1.3259934569681773
6,17,F8,9.5702576
7,18,F1,3.293535438404601e-07
7,18,F2,0.4029298211533065
7,18,F3,-0.014391950065911416
7,18,F4,-3.0577463986466245
7,18,F5,1275.8944769527013
7,18,F6,-0.5443161463422374
7,18,F7,1.3186084756995256
7,18,F8,9.5703304
8,19,F1,4.698203777888761e-08
8,19,F2,0.4033958521844193
8,19,F3,-0.040410739750939284
8,19,F4,-3.0769661204296237
8,19,F5,1296.1874022690768
8,19,F6,-0.456717463623469
8,19,F7,1.307723413921199
8,19,F8,9.570335
9,20,F1,1.2567875429482835e-08
9,20,F2,0.4845888496511508
9,20,F3,-0.021359931478115324
9,20,F4,-3.0976966316627883
9,20,F5,1312.0220605506825
9,20,F6,-0.6080157000130073
9,20,F7,1.2972085217539215
9,20,F8,9.5703184
10,21,F1,4.926283387768534e-09
10,21,F2,0.4423913449418855
10,21,F3,-0.019104483532988284
10,21,F4,-3.086527587543429
10,21,F5,1327.8906537170053
10,21,F6,-0.5066198176114273
10,21,F7,1.2858065260428098
10,21,F8,9.57030215
11,22,F1,3.032800966712352e-09
11,22,F2,0.6864561588494177
11,22,F3,-0.01660419816599609
11,22,F4,-3.0769661204296237
11,22,F5,1343.909215224004
11,22,F6,-0.5451561473936573
11,22,F7,1.272437700502749
11,22,F8,9.570294166
12,23,F1,1.8464528857878861e-09
12,23,F2,0.27454002686564655
12,23,F3,-0.03493632903838747
12,23,F4,-3.086527587543429
12,23,F5,1348.8472280503258
12,23,F6,-0.5446500693031042
12,23,F7,1.2631089350977152
12,23,F8,9.570285334
13,24,F1,1.8124950340224335e-08
13,24,F2,0.5431086878575929
13,24,F3,-0.02387411493618878
13,24,F4,-3.0551805858271517
13,24,F5,1368.7423730157743
13,24,F6,-0.5635434233499999
13,24,F7,1.3466248033244974
13,24,F8,9.570335
